Date,Open,High,Low,Close,symbol,shortName,longName,financialCurrency,sector,currency,industry,country,market
2020-07-30 00:00:00,176.0400414790582,178.01448209676894,173.8691265803196,175.31312561035156,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-07-31 00:00:00,173.90839073813413,173.99681014911454,167.98505463539507,169.63534545898438,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-08-03 00:00:00,170.81413695957468,170.9221918183255,167.8180840477412,169.93988037109375,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-08-04 00:00:00,169.43890114161871,172.68051681565578,168.73163572465867,170.4310302734375,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-08-05 00:00:00,172.32687112680895,173.67264785462098,170.20509002463274,171.7767791748047,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-08-06 00:00:00,170.14617473836972,172.5135339675981,168.38782882957605,170.00865173339844,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-08-07 00:00:00,170.1363313991079,175.15594325021098,169.92022169210287,175.03807067871094,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-08-10 00:00:00,174.00662508684013,179.98889737541893,174.00662508684013,179.76296997070312,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-08-11 00:00:00,181.7276122999323,183.8886944213982,178.80032847166382,179.15396118164062,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-08-12 00:00:00,181.865149496524,183.46632202904013,178.5351141296447,181.05966186523438,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-08-13 00:00:00,179.2128996480625,179.42900936172566,176.53119364163865,177.6804962158203,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-08-14 00:00:00,176.48206412131216,181.3936209654617,175.5783394606545,180.15589904785156,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-08-17 00:00:00,180.0576819231772,180.66671019238538,178.38775554739567,178.96731567382812,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-08-18 00:00:00,178.7806677936795,180.2737852600521,177.56259630941742,178.71189880371094,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-08-19 00:00:00,179.1834301598319,180.25414601293105,177.82783560045834,178.0439453125,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-08-20 00:00:00,176.8651755371328,177.3268631072154,174.31115982982,174.8612518310547,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-08-21 00:00:00,175.41136170955807,177.30721560137982,174.203107841719,175.14613342285156,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-08-24 00:00:00,176.25612377295064,176.5606528915053,172.50370209441516,174.53707885742188,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-08-25 00:00:00,175.30329579340636,175.30329579340636,172.89662091685946,174.27186584472656,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-08-26 00:00:00,173.8985969073622,173.8985969073622,169.11474488417815,171.0204315185547,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-08-27 00:00:00,172.04202157601122,175.19524783072663,171.20705087308556,173.9477081298828,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-08-28 00:00:00,174.27187407981623,178.23058793647704,172.84752550665766,177.94570922851562,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-08-31 00:00:00,176.16774461758638,179.50761278305214,174.14418528210246,174.2325897216797,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-09-01 00:00:00,172.88682369952062,174.16383164507798,171.41335645208153,173.03416442871094,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-09-02 00:00:00,173.9968170212787,178.86907300189193,172.9850375136113,178.13233947753906,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-09-03 00:00:00,179.37008638490886,181.97320587145705,173.682494390617,175.27383422851562,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-09-04 00:00:00,176.27577578694527,176.76693148152515,172.2090072353791,175.4506378173828,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-09-08 00:00:00,174.85143834569394,174.85143834569394,169.90059522584582,170.9025421142578,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-09-09 00:00:00,171.81609902723562,173.11274234483088,169.0558062556094,170.95166015625,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-09-10 00:00:00,171.33477484130978,172.690369545809,166.68844551275834,166.73756408691406,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-09-11 00:00:00,167.65108333674553,167.84754261720826,164.74345001257964,166.3642578125,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
